timestamp,open,high,low,close,volume,next
2019-01-31,99.55,107.9,97.2,104.43,714204787,107.78
2018-12-31,113,113.42,93.96,101.57,944287635,107.9
2018-11-30,107.05,112.24,99.3528,110.89,720228643,113.42
2018-10-31,114.75,116.18,100.11,106.81,927547942,112.24
2018-09-28,110.85,115.29,107.23,114.37,480255674,116.18
2018-08-31,106.03,112.777,104.84,112.33,456630721,115.29
2018-07-31,98.1,111.15,98,106.08,569501573,112.777
2018-06-29,99.2798,102.69,97.26,98.61,602585341,111.15
2018-05-31,93.21,99.99,92.45,98.84,509418119,102.69
2018-04-30,90.47,97.9,87.51,93.52,668258570,99.99
2018-03-29,93.99,97.24,87.08,91.27,732866406,97.9
2018-02-28,94.79,96.07,83.83,93.77,690287596,97.24
2018-01-31,86.125,95.45,85.5,95.01,543377322,96.07
2017-12-29,83.6,87.4999,80.7,85.54,447828256,95.45
2017-11-30,83.68,85.06,82.24,84.17,416152260,87.4999
2017-10-31,74.71,86.2,73.71,83.18,440510118,85.06
2017-09-29,74.71,75.97,72.92,74.49,367134396,86.2
2017-08-31,73.1,74.96,71.28,74.77,429156682,75.97
2017-07-31,69.33,74.42,68.02,72.7,451248934,74.96
2017-06-30,70.24,72.89,68.09,68.93,610120893,74.42
2017-05-31,68.68,70.74,67.14,69.84,505249296,72.89
2017-04-28,65.81,69.14,64.85,68.46,428857613,70.74
2017-03-31,64.13,66.19,63.62,65.86,489173200,69.14
2017-02-28,64.355,65.24,62.75,63.98,440744043,66.19
2017-01-31,62.79,65.91,61.95,64.65,494435826,65.24
2016-12-30,60.11,64.1,58.8,62.14,513579428,65.91
2016-11-30,59.97,61.41,57.28,60.26,613056964,64.1
2016-10-31,57.405,61.3699,56.315,59.92,614841775,61.41
2016-09-30,57.01,58.19,55.61,57.6,526855083,61.3699
2016-08-31,56.6,58.7,56.14,57.46,467079004,58.19
2016-07-29,51.13,57.29,50.39,56.68,647587634,58.7
2016-06-30,52.44,52.95,48.035,51.17,823987498,57.29
2016-05-31,50,53,49.46,53,530869347,52.95
2016-04-29,55.05,56.77,49.35,49.87,699025640,53
2016-03-31,50.97,55.64,50.58,55.23,640372350,56.77
2016-02-29,54.88,55.09,48.19,50.88,814770780,55.64
2016-01-29,54.32,55.39,49.1,55.09,927914485,55.09
2015-12-31,54.41,56.85,53.68,55.48,793070000,55.39
2015-11-30,52.85,54.98,52.53,54.35,662622220,56.85
2015-10-30,44.75,54.37,43.75,52.64,857330655,54.98
2015-09-30,42.23,45,41.66,44.26,670779566,54.37
2015-08-31,46.98,48.41,39.72,43.52,776277394,45
2015-07-31,44.46,47.4,43.32,46.7,725458102,48.41
2015-06-30,47.06,47.77,43.94,44.15,664853340,47.4
2015-05-29,48.58,48.905,46.02,46.86,633072750,47.77
2015-04-30,40.6,49.54,40.12,48.64,874535095,48.905
2015-03-31,43.67,44.19,40.54,40.655,824335340,49.54
